slice_file_name,fsID,start,end,salience,fold,classID,class
1-63871-A-103___1.wav,2888,0.0,0.7,1,7,0,Not_a_drone
1-39901-A-111___1.wav,2306,0.0,0.7,1,7,0,Not_a_drone
hoveering_30m_G10___36.wav,441,24.5,25.2,1,9,1,Drone
2-114254-A-303___1.wav,4252,0.0,0.7,1,3,0,Not_a_drone
113205-5-1-1___2.wav,3350,0.7,1.4,1,2,0,Not_a_drone
zz_g6___113.wav,1363,78.4,79.10000000000001,1,5,1,Drone
1-40621-A-282___1.wav,2332,0.0,0.7,1,10,0,Not_a_drone
3-126391-B-270___1.wav,6372,0.0,0.7,1,7,0,Not_a_drone
1-25781-A-480___1.wav,1990,0.0,0.7,1,10,0,Not_a_drone
1-26188-A-304___1.wav,2029,0.0,0.7,1,7,0,Not_a_drone
5-198891-D-82___1.wav,10558,0.0,0.7,1,4,0,Not_a_drone
Membo_2_011-membo_003____1.wav,670,0.0,0.7,1,5,1,Drone
1-58923-A-270___1.wav,2785,0.0,0.7,1,1,0,Not_a_drone
exercise_bike009___3.wav,12018,1.4,2.1,1,8,0,Not_a_drone
2-102568-A-353___1.wav,3942,0.0,0.7,1,1,0,Not_a_drone
4-174860-B-32___1.wav,8811,0.0,0.7,1,9,0,Not_a_drone
zz_g6___105.wav,1363,72.8,73.5,1,9,1,Drone
silence032___1.wav,12085,0.0,0.7,1,2,0,Not_a_drone
15m(7)___10.wav,28,6.3,7.0,1,2,1,Drone
108362-2-0-11___4.wav,3340,2.1,2.8,1,1,0,Not_a_drone
d3___48.wav,369,32.9,33.6,1,5,1,Drone
FlyingDroneSoundEffect___94.wav,430,65.1,65.8,1,6,1,Drone
4-175000-C-402___1.wav,8826,0.0,0.7,1,4,0,Not_a_drone
3-149042-A-243___1.wav,6835,0.0,0.7,1,4,0,Not_a_drone
2-66205-A-233___1.wav,5282,0.0,0.7,1,7,0,Not_a_drone
zz_l_r_1___7.wav,1365,4.2,4.9,1,10,1,Drone
5-193473-A-123___1.wav,10374,0.0,0.7,1,1,0,Not_a_drone
2-95258-B-11___1.wav,5790,0.0,0.7,1,6,0,Not_a_drone
10m (4)___3.wav,14,1.4,2.1,1,7,1,Drone
free_10m_G6___14.wav,431,9.1,9.8,1,5,1,Drone
free_30m_g7-10___7.wav,433,4.2,4.9,1,5,1,Drone
3-112397-A-93___1.wav,6115,0.0,0.7,1,9,0,Not_a_drone
159738-8-0-7___4.wav,3571,2.1,2.8,1,6,0,Not_a_drone
running_tap011___7.wav,12049,4.2,4.9,1,7,0,Not_a_drone
pink_noise010___4.wav,12036,2.1,2.8,1,5,0,Not_a_drone
zz_g6___166.wav,1363,115.5,116.2,1,9,1,Drone
Membo_2_019-membo_000____1.wav,702,0.0,0.7,1,5,1,Drone
U_P_5m_G6___24.wav,1358,16.1,16.8,1,8,1,Drone
zz_g4___20.wav,1361,13.3,14.0,1,1,1,Drone
5-203128-B-04___1.wav,10670,0.0,0.7,1,9,0,Not_a_drone
1-56907-A-461___1.wav,2746,0.0,0.7,1,5,0,Not_a_drone
FlyingDroneSoundEffect___61.wav,430,42.0,42.7,1,3,1,Drone
5-208624-A-383___1.wav,10769,0.0,0.7,1,1,0,Not_a_drone
4-192236-A-04___1.wav,9333,0.0,0.7,1,1,0,Not_a_drone
4-147658-A-460___1.wav,8239,0.0,0.7,1,4,0,Not_a_drone
78360-4-0-11___5.wav,11935,2.8,3.5,1,9,0,Not_a_drone
1-36164-A-263___1.wav,2248,0.0,0.7,1,1,0,Not_a_drone
1-62849-A-381___1.wav,2871,0.0,0.7,1,3,0,Not_a_drone
5-157204-A-162___1.wav,10003,0.0,0.7,1,5,0,Not_a_drone
1-96950-B-91___1.wav,3251,0.0,0.7,1,7,0,Not_a_drone
78360-4-0-8___5.wav,11954,2.8,3.5,1,8,0,Not_a_drone
2-93030-A-214___1.wav,5768,0.0,0.7,1,7,0,Not_a_drone
d7___38.wav,372,25.9,26.6,1,3,1,Drone
4-189833-A-222___1.wav,9281,0.0,0.7,1,5,0,Not_a_drone
132016-9-0-20___4.wav,3407,2.1,2.8,1,9,0,Not_a_drone
4-158653-A-322___1.wav,8371,0.0,0.7,1,2,0,Not_a_drone
zz_g6___78.wav,1363,53.9,54.6,1,10,1,Drone
5-243459-B-144___1.wav,11470,0.0,0.7,1,9,0,Not_a_drone
2-59241-A-352___1.wav,5186,0.0,0.7,1,10,0,Not_a_drone
10m(5)___14.wav,17,9.1,9.8,1,10,1,Drone
1-88409-B-453___1.wav,3193,0.0,0.7,1,7,0,Not_a_drone
5-180229-A-273___1.wav,10209,0.0,0.7,1,6,0,Not_a_drone
4-213915-B-31___1.wav,9596,0.0,0.7,1,5,0,Not_a_drone
17913-4-0-1___1.wav,3713,0.0,0.7,1,4,0,Not_a_drone
180256-3-0-1___5.wav,3718,2.8,3.5,1,8,0,Not_a_drone
4-161303-B-52___1.wav,8446,0.0,0.7,1,8,0,Not_a_drone
zz_g7___41.wav,1364,28.0,28.7,1,9,1,Drone
1-27166-A-350___1.wav,2045,0.0,0.7,1,6,0,Not_a_drone
180937-7-3-15___4.wav,3760,2.1,2.8,1,10,0,Not_a_drone
5-214759-A-53___1.wav,10929,0.0,0.7,1,10,0,Not_a_drone
zz_g4___171.wav,1361,119.0,119.7,1,4,1,Drone
2-124564-A-150___1.wav,4514,0.0,0.7,1,5,0,Not_a_drone
3-134699-C-163___1.wav,6495,0.0,0.7,1,10,0,Not_a_drone
4-167571-A-263___1.wav,8632,0.0,0.7,1,3,0,Not_a_drone
5-242711-A-93___1.wav,11424,0.0,0.7,1,10,0,Not_a_drone
u3___199.wav,12354,138.6,139.29999999999998,1,7,0,Not_a_drone
78360-4-0-21___1.wav,11945,0.0,0.7,1,4,0,Not_a_drone
15_m(9)___10.wav,29,6.3,7.0,1,3,1,Drone
17592-5-1-2___4.wav,3640,2.1,2.8,1,1,0,Not_a_drone
5-235644-A-301___1.wav,11327,0.0,0.7,1,2,0,Not_a_drone
U_D_10m_G7___23.wav,1356,15.4,16.1,1,3,1,Drone
4-198965-A-384___1.wav,9483,0.0,0.7,1,7,0,Not_a_drone
4-188703-C-84___1.wav,9243,0.0,0.7,1,9,0,Not_a_drone
2-117617-A-480___1.wav,4324,0.0,0.7,1,3,0,Not_a_drone
running_tap009___1.wav,12047,0.0,0.7,1,5,0,Not_a_drone
161702-9-0-26___3.wav,3582,1.4,2.1,1,6,0,Not_a_drone
1-50455-A-444___1.wav,2529,0.0,0.7,1,9,0,Not_a_drone
electric_toothbrush___38.wav,12008,25.9,26.6,1,7,0,Not_a_drone
174276-7-5-0___1.wav,3626,0.0,0.7,1,7,0,Not_a_drone
2-72547-B-143___1.wav,5392,0.0,0.7,1,8,0,Not_a_drone
3-131943-A-370___1.wav,6442,0.0,0.7,1,5,0,Not_a_drone
FlyingDroneSoundEffect___26.wav,430,17.5,18.2,1,10,1,Drone
4-145081-A-93___1.wav,8217,0.0,0.7,1,8,0,Not_a_drone
57320-0-0-6___2.wav,11872,0.7,1.4,1,7,0,Not_a_drone
hoovering_20m_G5___31.wav,439,21.0,21.7,1,5,1,Drone
176714-2-0-51___2.wav,3653,0.7,1.4,1,6,0,Not_a_drone
Membo_0_006-membo_001____1.wav,478,0.0,0.7,1,2,1,Drone
5-199284-B-453___1.wav,10569,0.0,0.7,1,2,0,Not_a_drone
4-161103-A-472___1.wav,8421,0.0,0.7,1,10,0,Not_a_drone
4-182314-A-71___1.wav,9005,0.0,0.7,1,7,0,Not_a_drone
4-165606-A-452___1.wav,8541,0.0,0.7,1,8,0,Not_a_drone
1-115546-A-483___1.wav,1474,0.0,0.7,1,8,0,Not_a_drone
99180-9-0-0___1.wav,11983,0.0,0.7,1,2,0,Not_a_drone
zz_g5___5.wav,1362,2.8,3.5,1,5,1,Drone
180937-7-1-5___5.wav,3738,2.8,3.5,1,5,0,Not_a_drone
1-172649-A-402___1.wav,1612,0.0,0.7,1,2,0,Not_a_drone
5-160614-F-481___1.wav,10042,0.0,0.7,1,3,0,Not_a_drone
1-47714-A-160___1.wav,2465,0.0,0.7,1,10,0,Not_a_drone
2-64332-A-183___1.wav,5252,0.0,0.7,1,8,0,Not_a_drone
21684-9-0-25___3.wav,5873,1.4,2.1,1,2,0,Not_a_drone
3-95695-A-50___1.wav,7847,0.0,0.7,1,3,0,Not_a_drone
159738-8-0-17___4.wav,3562,2.1,2.8,1,2,0,Not_a_drone
176787-5-0-20___3.wav,3668,1.4,2.1,1,1,0,Not_a_drone
4-166661-A-102___1.wav,8591,0.0,0.7,1,1,0,Not_a_drone
15m(10)___21.wav,25,14.0,14.7,1,8,1,Drone
57320-0-0-11___5.wav,11853,2.8,3.5,1,6,0,Not_a_drone
zz_l_r_3___3.wav,1367,1.4,2.1,1,1,1,Drone
5-156999-C-194___1.wav,9990,0.0,0.7,1,3,0,Not_a_drone
4-175845-A-431___1.wav,8835,0.0,0.7,1,8,0,Not_a_drone
4-157296-A-242___1.wav,8351,0.0,0.7,1,5,0,Not_a_drone
hoover___14.wav,12023,9.1,9.8,1,10,0,Not_a_drone
mixed_7-bebop_001____1.wav,1000,0.0,0.7,1,10,1,Drone
55020-4-0-7___4.wav,11848,2.1,2.8,1,1,0,Not_a_drone
5-235893-A-280___1.wav,11341,0.0,0.7,1,4,0,Not_a_drone
hand_fan___4.wav,12022,2.1,2.8,1,4,0,Not_a_drone
72261-3-0-6___3.wav,11911,1.4,2.1,1,1,0,Not_a_drone
4-125825-B-460___1.wav,8054,0.0,0.7,1,5,0,Not_a_drone
4-182039-A-303___1.wav,8997,0.0,0.7,1,5,0,Not_a_drone
177621-0-0-120___4.wav,3693,2.1,2.8,1,8,0,Not_a_drone
118279-8-0-5___4.wav,3377,2.1,2.8,1,1,0,Not_a_drone
hoover___102.wav,12023,70.7,71.4,1,8,0,Not_a_drone
5-221568-A-223___1.wav,11149,0.0,0.7,1,2,0,Not_a_drone
180937-7-2-0___2.wav,3743,0.7,1.4,1,10,0,Not_a_drone
134717-0-0-14___1.wav,3412,0.0,0.7,1,5,0,Not_a_drone
hoveering_30m_G10___33.wav,441,22.4,23.1,1,7,1,Drone
running_tap004___3.wav,12042,1.4,2.1,1,5,0,Not_a_drone
72261-3-0-6___2.wav,11911,0.7,1.4,1,2,0,Not_a_drone
2-110417-B-280___1.wav,4219,0.0,0.7,1,6,0,Not_a_drone
3-144827-B-113___1.wav,6725,0.0,0.7,1,3,0,Not_a_drone
zz_g4___18.wav,1361,11.9,12.6,1,3,1,Drone
1-57316-A-133___1.wav,2758,0.0,0.7,1,6,0,Not_a_drone
u3___68.wav,12354,46.9,47.6,1,3,0,Not_a_drone
1-58792-A-241___1.wav,2776,0.0,0.7,1,7,0,Not_a_drone
132016-9-0-6___2.wav,3408,0.7,1.4,1,3,0,Not_a_drone
5-243459-B-143___1.wav,11469,0.0,0.7,1,3,0,Not_a_drone
hoover___126.wav,12023,87.5,88.2,1,1,0,Not_a_drone
57584-4-0-1___5.wav,11879,2.8,3.5,1,5,0,Not_a_drone
3-180256-A-04___1.wav,7486,0.0,0.7,1,9,0,Not_a_drone
147764-4-4-0___2.wav,3494,0.7,1.4,1,5,0,Not_a_drone
zz_g7___162.wav,1364,112.7,113.4,1,3,1,Drone
3-132601-A-242___1.wav,6454,0.0,0.7,1,5,0,Not_a_drone
2-98676-A-243___1.wav,5832,0.0,0.7,1,6,0,Not_a_drone
1-94231-A-322___1.wav,3227,0.0,0.7,1,10,0,Not_a_drone
46669-4-0-48___1.wav,9850,0.0,0.7,1,6,0,Not_a_drone
mixed_30-bebop_001____1.wav,843,0.0,0.7,1,9,1,Drone
hoover___149.wav,12023,103.6,104.3,1,3,0,Not_a_drone
3-150363-A-384___1.wav,6861,0.0,0.7,1,2,0,Not_a_drone
180937-7-3-24___3.wav,3769,1.4,2.1,1,2,0,Not_a_drone
4-102844-A-490___1.wav,7909,0.0,0.7,1,10,0,Not_a_drone
Membo_1_041-membo_004____1.wav,626,0.0,0.7,1,6,1,Drone
2-59566-A-463___1.wav,5202,0.0,0.7,1,4,0,Not_a_drone
hand_fan___14.wav,12022,9.1,9.8,1,4,0,Not_a_drone
2-37870-A-22___1.wav,5031,0.0,0.7,1,2,0,Not_a_drone
mixed_membo_57-membo_003____1.wav,1282,0.0,0.7,1,8,1,Drone
Membo_0_006-membo_004____1.wav,481,0.0,0.7,1,5,1,Drone
4-160036-B-333___1.wav,8397,0.0,0.7,1,7,0,Not_a_drone
1-118559-A-171___1.wav,1502,0.0,0.7,1,10,0,Not_a_drone
zz_g7___101.wav,1364,70.0,70.7,1,2,1,Drone
2-106486-A-442___1.wav,4061,0.0,0.7,1,9,0,Not_a_drone
26270-9-0-32___4.wav,5899,2.1,2.8,1,5,0,Not_a_drone
4-119720-A-181___1.wav,8010,0.0,0.7,1,1,0,Not_a_drone
2-72547-D-144___1.wav,5403,0.0,0.7,1,3,0,Not_a_drone
5-179868-A-431___1.wav,10187,0.0,0.7,1,8,0,Not_a_drone
4-264453-A-342___1.wav,9752,0.0,0.7,1,10,0,Not_a_drone
shaver___156.wav,12051,108.5,109.2,1,9,0,Not_a_drone
180937-7-1-10___4.wav,3728,2.1,2.8,1,6,0,Not_a_drone
hoovering_30m_G6___23.wav,440,15.4,16.1,1,7,1,Drone
r_l_30m_G7___30.wav,1354,20.3,21.0,1,2,1,Drone
159738-8-0-12___1.wav,3557,0.0,0.7,1,8,0,Not_a_drone
4-188878-A-304___1.wav,9253,0.0,0.7,1,5,0,Not_a_drone
4-165845-B-453___1.wav,8582,0.0,0.7,1,10,0,Not_a_drone
5-127990-A-21___1.wav,9917,0.0,0.7,1,7,0,Not_a_drone
180937-7-3-13___3.wav,3758,1.4,2.1,1,9,0,Not_a_drone
1-30039-A-260___1.wav,2100,0.0,0.7,1,9,0,Not_a_drone
5-103418-A-20___1.wav,9871,0.0,0.7,1,7,0,Not_a_drone
138031-2-0-45___2.wav,3456,0.7,1.4,1,2,0,Not_a_drone
3-103597-A-252___1.wav,5989,0.0,0.7,1,2,0,Not_a_drone
2-64962-A-152___1.wav,5256,0.0,0.7,1,3,0,Not_a_drone
2-60180-A-493___1.wav,5207,0.0,0.7,1,9,0,Not_a_drone
shaver___94.wav,12051,65.1,65.8,1,10,0,Not_a_drone
1-15689-B-43___1.wav,1568,0.0,0.7,1,9,0,Not_a_drone
1-49098-A-351___1.wav,2501,0.0,0.7,1,1,0,Not_a_drone
5-187201-B-42___1.wav,10288,0.0,0.7,1,6,0,Not_a_drone
doing_the_dishes017___7.wav,12006,4.2,4.9,1,2,0,Not_a_drone
silence151___1.wav,12204,0.0,0.7,1,6,0,Not_a_drone
1-17970-A-41___1.wav,1676,0.0,0.7,1,6,0,Not_a_drone
3-141684-A-211___1.wav,6608,0.0,0.7,1,5,0,Not_a_drone
1-25781-A-484___1.wav,1994,0.0,0.7,1,2,0,Not_a_drone
shaver___18.wav,12051,11.9,12.6,1,7,0,Not_a_drone
3-120644-A-121___1.wav,6288,0.0,0.7,1,8,0,Not_a_drone
2-158746-B-21___1.wav,4790,0.0,0.7,1,7,0,Not_a_drone
99180-9-0-48___2.wav,11986,0.7,1.4,1,6,0,Not_a_drone
4-165845-B-451___1.wav,8580,0.0,0.7,1,10,0,Not_a_drone
r_l_10m_g6___16.wav,1352,10.5,11.2,1,5,1,Drone
4-218199-A-353___1.wav,9623,0.0,0.7,1,2,0,Not_a_drone
u3___185.wav,12354,128.8,129.5,1,1,0,Not_a_drone
3-152007-D-202___1.wav,6954,0.0,0.7,1,7,0,Not_a_drone
electric_toothbrush___130.wav,12008,90.3,91.0,1,10,0,Not_a_drone
146186-5-0-8___3.wav,3488,1.4,2.1,1,1,0,Not_a_drone
B_S2_D1_120-bebop_004____1.wav,305,0.0,0.7,1,7,1,Drone
4-172143-A-133___1.wav,8722,0.0,0.7,1,3,0,Not_a_drone
203356-3-0-1___4.wav,5865,2.1,2.8,1,4,0,Not_a_drone
78360-4-0-21___5.wav,11945,2.8,3.5,1,9,0,Not_a_drone
180937-7-3-30___3.wav,3775,1.4,2.1,1,2,0,Not_a_drone
hand_fan___100.wav,12022,69.3,70.0,1,4,0,Not_a_drone
4-196671-A-83___1.wav,9412,0.0,0.7,1,10,0,Not_a_drone
2-102435-A-373___1.wav,3917,0.0,0.7,1,9,0,Not_a_drone
1-23706-A-494___1.wav,1939,0.0,0.7,1,10,0,Not_a_drone
5-198278-A-70___1.wav,10476,0.0,0.7,1,9,0,Not_a_drone
5-204604-A-243___1.wav,10694,0.0,0.7,1,9,0,Not_a_drone
134717-0-0-27___4.wav,3425,2.1,2.8,1,9,0,Not_a_drone
u3___129.wav,12354,89.6,90.3,1,10,0,Not_a_drone
free_30m_g7-10___38.wav,433,25.9,26.6,1,9,1,Drone
57320-0-0-13___5.wav,11854,2.8,3.5,1,7,0,Not_a_drone
2-50774-A-230___1.wav,5109,0.0,0.7,1,6,0,Not_a_drone
177621-0-0-46___3.wav,3703,1.4,2.1,1,9,0,Not_a_drone
3-132747-A-260___1.wav,6457,0.0,0.7,1,10,0,Not_a_drone
4-187769-B-143___1.wav,9182,0.0,0.7,1,1,0,Not_a_drone
160009-2-0-22___5.wav,3576,2.8,3.5,1,6,0,Not_a_drone
3-102583-B-492___1.wav,5934,0.0,0.7,1,1,0,Not_a_drone
119455-5-0-6___4.wav,3388,2.1,2.8,1,1,0,Not_a_drone
doing_the_dishes001___7.wav,11990,4.2,4.9,1,7,0,Not_a_drone
157867-8-0-27___2.wav,3544,0.7,1.4,1,2,0,Not_a_drone
2-102414-B-172___1.wav,3886,0.0,0.7,1,6,0,Not_a_drone
d5___19.wav,371,12.6,13.3,1,5,1,Drone
1-40154-A-462___1.wav,2327,0.0,0.7,1,1,0,Not_a_drone
15m(10)___46.wav,25,31.5,32.2,1,3,1,Drone
2-104952-B-162___1.wav,4021,0.0,0.7,1,1,0,Not_a_drone
1-58792-A-240___1.wav,2775,0.0,0.7,1,3,0,Not_a_drone
4-188287-A-90___1.wav,9209,0.0,0.7,1,6,0,Not_a_drone
46669-4-0-4___5.wav,9852,2.8,3.5,1,2,0,Not_a_drone
180937-7-1-14___4.wav,3732,2.1,2.8,1,3,0,Not_a_drone
5-218196-A-270___1.wav,11041,0.0,0.7,1,9,0,Not_a_drone
2-100648-A-434___1.wav,3868,0.0,0.7,1,4,0,Not_a_drone
B_S2_D1_114-bebop_001____1.wav,272,0.0,0.7,1,10,1,Drone
89212-3-0-0___2.wav,11959,0.7,1.3199999999999998,1,10,0,Not_a_drone
r_l_5m_G5___37.wav,1355,25.2,25.9,1,3,1,Drone
1-22694-B-202___1.wav,1902,0.0,0.7,1,9,0,Not_a_drone
5-253101-B-492___1.wav,11673,0.0,0.7,1,6,0,Not_a_drone
5-160614-C-481___1.wav,10027,0.0,0.7,1,2,0,Not_a_drone
3-68630-A-404___1.wav,7756,0.0,0.7,1,5,0,Not_a_drone
zz_g6___6.wav,1363,3.5,4.2,1,2,1,Drone
4-188191-A-293___1.wav,9197,0.0,0.7,1,1,0,Not_a_drone
2-110417-B-284___1.wav,4223,0.0,0.7,1,5,0,Not_a_drone
160009-2-0-11___3.wav,3574,1.4,2.1,1,9,0,Not_a_drone
55020-4-0-10___5.wav,11837,2.8,3.5,1,7,0,Not_a_drone
1-53467-A-473___1.wav,2648,0.0,0.7,1,5,0,Not_a_drone
FlyingDroneSoundEffect___16.wav,430,10.5,11.2,1,5,1,Drone
3-171937-A-341___1.wav,7433,0.0,0.7,1,1,0,Not_a_drone
4-212604-C-153___1.wav,9573,0.0,0.7,1,4,0,Not_a_drone
176714-2-0-55___4.wav,3654,2.1,2.8,1,9,0,Not_a_drone
1-32373-B-351___1.wav,2191,0.0,0.7,1,6,0,Not_a_drone
2-155801-A-110___1.wav,4774,0.0,0.7,1,2,0,Not_a_drone
5-192191-A-190___1.wav,10361,0.0,0.7,1,9,0,Not_a_drone
180937-7-2-7___2.wav,3751,0.7,1.4,1,8,0,Not_a_drone
134717-0-0-22___4.wav,3420,2.1,2.8,1,7,0,Not_a_drone
4-165813-B-191___1.wav,8560,0.0,0.7,1,5,0,Not_a_drone
177621-0-0-105___1.wav,3690,0.0,0.7,1,9,0,Not_a_drone
180937-7-0-0___5.wav,3721,2.8,3.5,1,4,0,Not_a_drone
2-122066-B-451___1.wav,4455,0.0,0.7,1,6,0,Not_a_drone
5-156999-C-193___1.wav,9989,0.0,0.7,1,8,0,Not_a_drone
132016-9-0-11___2.wav,3404,0.7,1.4,1,3,0,Not_a_drone
zz_g7___38.wav,1364,25.9,26.6,1,1,1,Drone
5-103418-A-24___1.wav,9875,0.0,0.7,1,6,0,Not_a_drone
180937-7-0-5___3.wav,3725,1.4,2.1,1,7,0,Not_a_drone
3-144692-A-210___1.wav,6712,0.0,0.7,1,2,0,Not_a_drone
2-60791-A-262___1.wav,5216,0.0,0.7,1,3,0,Not_a_drone
5-214759-A-51___1.wav,10927,0.0,0.7,1,6,0,Not_a_drone
2-99955-B-72___1.wav,5856,0.0,0.7,1,3,0,Not_a_drone
3-148297-A-373___1.wav,6820,0.0,0.7,1,3,0,Not_a_drone
4-188703-B-80___1.wav,9234,0.0,0.7,1,2,0,Not_a_drone
134717-0-0-23___5.wav,3421,2.8,3.5,1,2,0,Not_a_drone
d4___71.wav,370,49.0,49.7,1,7,1,Drone
3-253084-B-21___1.wav,7678,0.0,0.7,1,6,0,Not_a_drone
hoverring_5m_G0___12.wav,443,7.7,8.4,1,4,1,Drone
176787-5-0-12___3.wav,3659,1.4,2.1,1,8,0,Not_a_drone
zz_g4___68.wav,1361,46.9,47.6,1,5,1,Drone
1-155858-E-250___1.wav,1550,0.0,0.7,1,7,0,Not_a_drone
4-192236-A-03___1.wav,9332,0.0,0.7,1,10,0,Not_a_drone
1-254507-A-430___1.wav,1980,0.0,0.7,1,7,0,Not_a_drone
mixed_61-bebop_001____1.wav,970,0.0,0.7,1,10,1,Drone
d4___7.wav,370,4.2,4.9,1,1,1,Drone
zz_g7___31.wav,1364,21.0,21.7,1,1,1,Drone
4-189838-A-224___1.wav,9293,0.0,0.7,1,5,0,Not_a_drone
zz_u_d_2___4.wav,1370,2.1,2.8,1,9,1,Drone
4-170078-A-13___1.wav,8677,0.0,0.7,1,8,0,Not_a_drone
2-52085-A-44___1.wav,5143,0.0,0.7,1,9,0,Not_a_drone
3-154378-A-300___1.wav,7012,0.0,0.7,1,9,0,Not_a_drone
15m(10)___44.wav,25,30.1,30.8,1,9,1,Drone
180937-7-0-6___1.wav,3726,0.0,0.7,1,8,0,Not_a_drone
hoverring_5m_G0___22.wav,443,14.7,15.4,1,10,1,Drone
1-80841-A-134___1.wav,3104,0.0,0.7,1,5,0,Not_a_drone
free_5m_G6 (1)___12.wav,434,7.7,8.4,1,8,1,Drone
B_S2_D1_124-bebop_001____1.wav,322,0.0,0.7,1,7,1,Drone
mixed_57-bebop_003____1.wav,947,0.0,0.7,1,7,1,Drone
5-198411-B-204___1.wav,10510,0.0,0.7,1,3,0,Not_a_drone
1-58923-B-271___1.wav,2791,0.0,0.7,1,5,0,Not_a_drone
2-209473-A-252___1.wav,4916,0.0,0.7,1,3,0,Not_a_drone
5-171118-A-260___1.wav,10081,0.0,0.7,1,1,0,Not_a_drone
17592-5-1-3___4.wav,3641,2.1,2.8,1,4,0,Not_a_drone
113205-5-1-9___2.wav,3358,0.7,1.4,1,7,0,Not_a_drone
FlyingDroneSoundEffect___84.wav,430,58.1,58.8,1,2,1,Drone
77766-9-0-7___3.wav,11933,1.4,2.1,1,6,0,Not_a_drone
15m(7)___37.wav,28,25.2,25.9,1,9,1,Drone
2-81112-A-344___1.wav,5558,0.0,0.7,1,6,0,Not_a_drone
176787-5-0-5___2.wav,3682,0.7,1.4,1,6,0,Not_a_drone
hoovering_30m_G6___37.wav,440,25.2,25.9,1,1,1,Drone
177621-0-0-46___1.wav,3703,0.0,0.7,1,5,0,Not_a_drone
4-161519-A-194___1.wav,8453,0.0,0.7,1,2,0,Not_a_drone
3-68630-A-401___1.wav,7753,0.0,0.7,1,10,0,Not_a_drone
5-203739-A-102___1.wav,10673,0.0,0.7,1,4,0,Not_a_drone
5-193339-A-101___1.wav,10367,0.0,0.7,1,4,0,Not_a_drone
3-102583-C-494___1.wav,5941,0.0,0.7,1,8,0,Not_a_drone
2-82274-B-52___1.wav,5606,0.0,0.7,1,7,0,Not_a_drone
3-164592-A-151___1.wav,7303,0.0,0.7,1,2,0,Not_a_drone
FlyingDroneSoundEffect___7.wav,430,4.2,4.9,1,1,1,Drone
105415-2-0-6___5.wav,3327,2.8,3.5,1,2,0,Not_a_drone
3-154378-A-304___1.wav,7016,0.0,0.7,1,5,0,Not_a_drone
2-32515-B-42___1.wav,4991,0.0,0.7,1,3,0,Not_a_drone
5-243025-A-252___1.wav,11438,0.0,0.7,1,9,0,Not_a_drone
